deck,source,commanders,dck,status,detail
"Atraxa, Praetors’ Voice",Atraxa_Praetors_Voice_Current_2026-09-02.txt,"Atraxa, Praetors' Voice",forge_decks/Atraxa_Praetors_Voice.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Black Panther — T'Challa, the Black Panther",Black_Panther_Best_Evidence_Reconstruction_2026-09-03.txt,"T'Challa, the Black Panther",forge_decks/Black_Panther.dck,EXACT,100-card user-approved September 3 best-evidence current reconstruction; Forge export generated
"Camellia, the Seedmiser",Camellia_Seedmiser_Current_2026-09-02.txt,"Camellia, the Seedmiser",forge_decks/Camellia_Seedmiser.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Cloud, Ex-SOLDIER",Cloud_EX_SOLDIER_Current_2026-09-02.txt,"Cloud, Ex-SOLDIER",forge_decks/Cloud_EX_SOLDIER.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
Garth One-Eye,Garth_One-Eye_Current_2026-09-02.txt,Garth One-Eye,forge_decks/Garth_One_Eye.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
Infinite Guideline Station,Infinite_Guideline_Station_Current_2026-09-02.txt,Infinite Guideline Station,forge_decks/Infinite_Guideline_Station.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Katara, the Fearless",Katara_the_Fearless_Current_2026-09-02.txt,"Katara, the Fearless",forge_decks/Katara_the_Fearless.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Mathematics — Omnath, Locus of All",Mathematics_Omnath_Locus_of_All_Current_Reconciled_2026-09-03_v12.txt,"Omnath, Locus of All",forge_decks/Mathematics_Omnath_Locus_of_All.dck,EXACT,100 fully named current cards; Blaze IN and Rewind/Re-Roll OUT confirmed September 3; Forge export generated
Miles Morales // Ultimate Spider-Man,Miles_Morales_Current_2026-09-02.txt,Miles Morales // Ultimate Spider-Man,forge_decks/Miles_Morales.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Omnath, Locus of Mana",Omnath_Locus_of_Mana_Current_2026-09-02.txt,"Omnath, Locus of Mana",forge_decks/Omnath_Locus_of_Mana.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Shorikai, Genesis Engine",Shorikai_Genesis_Engine_Current_2026-09-02.txt,"Shorikai, Genesis Engine",forge_decks/Shorikai_Genesis_Engine.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Thanos, the Mad Titan",Thanos_the_Mad_Titan_Current_2026-09-02.txt,"Thanos, the Mad Titan",forge_decks/Thanos_the_Mad_Titan.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Toph, Earthbending Master",Toph_Earthbending_Master_Current_2026-09-02.txt,"Toph, Earthbending Master",forge_decks/Toph_Earthbending_Master.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Toph, the First Metalbender",Toph_First_Metalbender_Current_2026-09-02.txt,"Toph, the First Metalbender",forge_decks/Toph_First_Metalbender.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
Turtle Power!,Turtle_Power_Current_2026-09-02.txt,"Leonardo, the Balance",forge_decks/Turtle_Power.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Ulalek, Fused Atrocity",Ulalek_Fused_Atrocity_Current_2026-09-02.txt,"Ulalek, Fused Atrocity",forge_decks/Ulalek_Fused_Atrocity.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Urza, Chief Artificer",Urza_Chief_Artificer_Current_2026-09-02.txt,"Urza, Chief Artificer",forge_decks/Urza_Chief_Artificer.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Urtet, Remnant of Memnarch",Urtet_Remnant_of_Memnarch_Current_2026-09-02.txt,"Urtet, Remnant of Memnarch",forge_decks/Urtet_Remnant_of_Memnarch.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
"Wilson, Refined Grizzly + Flaming Fist",Wilson_Flaming_Fist_Current_2026-09-02.txt,"Flaming Fist | Wilson, Refined Grizzly",forge_decks/Wilson_Flaming_Fist.dck,EXACT,September 2 authoritative fully named 100-card list; .dck generated
