Round,Pod,Size,Decks
1,1,4,"Cloud, Ex-SOLDIER | Katara, the Fearless | Toph, the First Metalbender | Infinite Guideline Station"
1,2,4,"Miles Morales // Ultimate Spider-Man | Wilson, Refined Grizzly + Flaming Fist | Black Panther — T'Challa, the Black Panther | Turtle Power!"
1,3,4,"Atraxa, Praetors' Voice | Shorikai, Genesis Engine | Camellia, the Seedmiser | Mathematics — Omnath, Locus of All"
1,4,4,"Ulalek, Fused Atrocity | Urza, Chief Artificer | Toph, Earthbending Master | Thanos, the Mad Titan"
1,5,3,"Garth One-Eye | Urtet, Remnant of Memnarch | Omnath, Locus of Mana"
2,1,4,"Garth One-Eye | Mathematics — Omnath, Locus of All | Turtle Power! | Katara, the Fearless"
2,2,4,"Omnath, Locus of Mana | Atraxa, Praetors' Voice | Camellia, the Seedmiser | Ulalek, Fused Atrocity"
2,3,4,"Black Panther — T'Challa, the Black Panther | Thanos, the Mad Titan | Cloud, Ex-SOLDIER | Miles Morales // Ultimate Spider-Man"
2,4,4,"Urza, Chief Artificer | Urtet, Remnant of Memnarch | Toph, the First Metalbender | Toph, Earthbending Master"
2,5,3,"Infinite Guideline Station | Wilson, Refined Grizzly + Flaming Fist | Shorikai, Genesis Engine"
3,1,4,"Infinite Guideline Station | Miles Morales // Ultimate Spider-Man | Ulalek, Fused Atrocity | Mathematics — Omnath, Locus of All"
3,2,4,"Shorikai, Genesis Engine | Black Panther — T'Challa, the Black Panther | Cloud, Ex-SOLDIER | Urza, Chief Artificer"
3,3,4,"Camellia, the Seedmiser | Toph, Earthbending Master | Garth One-Eye | Omnath, Locus of Mana"
3,4,4,"Urtet, Remnant of Memnarch | Wilson, Refined Grizzly + Flaming Fist | Turtle Power! | Toph, the First Metalbender"
3,5,3,"Katara, the Fearless | Atraxa, Praetors' Voice | Thanos, the Mad Titan"
4,1,4,"Katara, the Fearless | Omnath, Locus of Mana | Urza, Chief Artificer | Miles Morales // Ultimate Spider-Man"
4,2,4,"Thanos, the Mad Titan | Camellia, the Seedmiser | Garth One-Eye | Urtet, Remnant of Memnarch"
4,3,4,"Cloud, Ex-SOLDIER | Toph, the First Metalbender | Infinite Guideline Station | Shorikai, Genesis Engine"
4,4,4,"Wilson, Refined Grizzly + Flaming Fist | Atraxa, Praetors' Voice | Ulalek, Fused Atrocity | Turtle Power!"
4,5,3,"Mathematics — Omnath, Locus of All | Black Panther — T'Challa, the Black Panther | Toph, Earthbending Master"
5,1,4,"Mathematics — Omnath, Locus of All | Shorikai, Genesis Engine | Urtet, Remnant of Memnarch | Omnath, Locus of Mana"
5,2,4,"Toph, Earthbending Master | Cloud, Ex-SOLDIER | Infinite Guideline Station | Wilson, Refined Grizzly + Flaming Fist"
5,3,4,"Garth One-Eye | Turtle Power! | Katara, the Fearless | Thanos, the Mad Titan"
5,4,4,"Atraxa, Praetors' Voice | Black Panther — T'Challa, the Black Panther | Urza, Chief Artificer | Ulalek, Fused Atrocity"
5,5,3,"Miles Morales // Ultimate Spider-Man | Camellia, the Seedmiser | Toph, the First Metalbender"
6,1,4,"Miles Morales // Ultimate Spider-Man | Thanos, the Mad Titan | Wilson, Refined Grizzly + Flaming Fist | Shorikai, Genesis Engine"
6,2,4,"Toph, the First Metalbender | Garth One-Eye | Katara, the Fearless | Atraxa, Praetors' Voice"
6,3,4,"Infinite Guideline Station | Ulalek, Fused Atrocity | Mathematics — Omnath, Locus of All | Toph, Earthbending Master"
6,4,4,"Black Panther — T'Challa, the Black Panther | Camellia, the Seedmiser | Urtet, Remnant of Memnarch | Urza, Chief Artificer"
6,5,3,"Omnath, Locus of Mana | Cloud, Ex-SOLDIER | Turtle Power!"
7,1,4,"Omnath, Locus of Mana | Toph, Earthbending Master | Atraxa, Praetors' Voice | Thanos, the Mad Titan"
7,2,4,"Turtle Power! | Infinite Guideline Station | Mathematics — Omnath, Locus of All | Black Panther — T'Challa, the Black Panther"
7,3,4,"Katara, the Fearless | Urza, Chief Artificer | Miles Morales // Ultimate Spider-Man | Toph, the First Metalbender"
7,4,4,"Camellia, the Seedmiser | Cloud, Ex-SOLDIER | Wilson, Refined Grizzly + Flaming Fist | Urtet, Remnant of Memnarch"
7,5,3,"Shorikai, Genesis Engine | Garth One-Eye | Ulalek, Fused Atrocity"
8,1,4,"Shorikai, Genesis Engine | Toph, the First Metalbender | Black Panther — T'Challa, the Black Panther | Toph, Earthbending Master"
8,2,4,"Ulalek, Fused Atrocity | Katara, the Fearless | Miles Morales // Ultimate Spider-Man | Camellia, the Seedmiser"
8,3,4,"Mathematics — Omnath, Locus of All | Urtet, Remnant of Memnarch | Omnath, Locus of Mana | Turtle Power!"
8,4,4,"Cloud, Ex-SOLDIER | Garth One-Eye | Atraxa, Praetors' Voice | Wilson, Refined Grizzly + Flaming Fist"
8,5,3,"Thanos, the Mad Titan | Infinite Guideline Station | Urza, Chief Artificer"
9,1,4,"Thanos, the Mad Titan | Turtle Power! | Camellia, the Seedmiser | Toph, the First Metalbender"
9,2,4,"Urza, Chief Artificer | Mathematics — Omnath, Locus of All | Omnath, Locus of Mana | Cloud, Ex-SOLDIER"
9,3,4,"Miles Morales // Ultimate Spider-Man | Wilson, Refined Grizzly + Flaming Fist | Shorikai, Genesis Engine | Ulalek, Fused Atrocity"
9,4,4,"Garth One-Eye | Infinite Guideline Station | Black Panther — T'Challa, the Black Panther | Atraxa, Praetors' Voice"
9,5,3,"Toph, Earthbending Master | Katara, the Fearless | Urtet, Remnant of Memnarch"
10,1,4,"Toph, Earthbending Master | Ulalek, Fused Atrocity | Cloud, Ex-SOLDIER | Turtle Power!"
10,2,4,"Urtet, Remnant of Memnarch | Miles Morales // Ultimate Spider-Man | Shorikai, Genesis Engine | Garth One-Eye"
10,3,4,"Omnath, Locus of Mana | Atraxa, Praetors' Voice | Thanos, the Mad Titan | Urza, Chief Artificer"
10,4,4,"Infinite Guideline Station | Katara, the Fearless | Camellia, the Seedmiser | Black Panther — T'Challa, the Black Panther"
10,5,3,"Toph, the First Metalbender | Mathematics — Omnath, Locus of All | Wilson, Refined Grizzly + Flaming Fist"
11,1,4,"Toph, the First Metalbender | Urza, Chief Artificer | Garth One-Eye | Ulalek, Fused Atrocity"
11,2,4,"Wilson, Refined Grizzly + Flaming Fist | Omnath, Locus of Mana | Thanos, the Mad Titan | Infinite Guideline Station"
11,3,4,"Shorikai, Genesis Engine | Black Panther — T'Challa, the Black Panther | Toph, Earthbending Master | Urtet, Remnant of Memnarch"
11,4,4,"Katara, the Fearless | Mathematics — Omnath, Locus of All | Cloud, Ex-SOLDIER | Camellia, the Seedmiser"
11,5,3,"Turtle Power! | Miles Morales // Ultimate Spider-Man | Atraxa, Praetors' Voice"
12,1,4,"Turtle Power! | Urtet, Remnant of Memnarch | Infinite Guideline Station | Urza, Chief Artificer"
12,2,4,"Atraxa, Praetors' Voice | Shorikai, Genesis Engine | Toph, Earthbending Master | Katara, the Fearless"
12,3,4,"Thanos, the Mad Titan | Camellia, the Seedmiser | Toph, the First Metalbender | Wilson, Refined Grizzly + Flaming Fist"
12,4,4,"Mathematics — Omnath, Locus of All | Miles Morales // Ultimate Spider-Man | Garth One-Eye | Cloud, Ex-SOLDIER"
12,5,3,"Ulalek, Fused Atrocity | Omnath, Locus of Mana | Black Panther — T'Challa, the Black Panther"
13,1,4,"Ulalek, Fused Atrocity | Wilson, Refined Grizzly + Flaming Fist | Katara, the Fearless | Urtet, Remnant of Memnarch"
13,2,4,"Black Panther — T'Challa, the Black Panther | Thanos, the Mad Titan | Toph, the First Metalbender | Mathematics — Omnath, Locus of All"
13,3,4,"Toph, Earthbending Master | Cloud, Ex-SOLDIER | Turtle Power! | Atraxa, Praetors' Voice"
13,4,4,"Miles Morales // Ultimate Spider-Man | Omnath, Locus of Mana | Infinite Guideline Station | Garth One-Eye"
13,5,3,"Urza, Chief Artificer | Shorikai, Genesis Engine | Camellia, the Seedmiser"
14,1,4,"Urza, Chief Artificer | Atraxa, Praetors' Voice | Mathematics — Omnath, Locus of All | Wilson, Refined Grizzly + Flaming Fist"
14,2,4,"Camellia, the Seedmiser | Toph, Earthbending Master | Turtle Power! | Miles Morales // Ultimate Spider-Man"
14,3,4,"Toph, the First Metalbender | Garth One-Eye | Ulalek, Fused Atrocity | Black Panther — T'Challa, the Black Panther"
14,4,4,"Omnath, Locus of Mana | Shorikai, Genesis Engine | Katara, the Fearless | Infinite Guideline Station"
14,5,3,"Urtet, Remnant of Memnarch | Thanos, the Mad Titan | Cloud, Ex-SOLDIER"
15,1,4,"Urtet, Remnant of Memnarch | Black Panther — T'Challa, the Black Panther | Miles Morales // Ultimate Spider-Man | Atraxa, Praetors' Voice"
15,2,4,"Cloud, Ex-SOLDIER | Toph, the First Metalbender | Ulalek, Fused Atrocity | Omnath, Locus of Mana"
15,3,4,"Turtle Power! | Infinite Guideline Station | Urza, Chief Artificer | Camellia, the Seedmiser"
15,4,4,"Shorikai, Genesis Engine | Thanos, the Mad Titan | Mathematics — Omnath, Locus of All | Katara, the Fearless"
15,5,3,"Wilson, Refined Grizzly + Flaming Fist | Toph, Earthbending Master | Garth One-Eye"
16,1,4,"Wilson, Refined Grizzly + Flaming Fist | Camellia, the Seedmiser | Omnath, Locus of Mana | Black Panther — T'Challa, the Black Panther"
16,2,4,"Garth One-Eye | Turtle Power! | Urza, Chief Artificer | Shorikai, Genesis Engine"
16,3,4,"Ulalek, Fused Atrocity | Katara, the Fearless | Urtet, Remnant of Memnarch | Cloud, Ex-SOLDIER"
16,4,4,"Thanos, the Mad Titan | Toph, Earthbending Master | Miles Morales // Ultimate Spider-Man | Mathematics — Omnath, Locus of All"
16,5,3,"Atraxa, Praetors' Voice | Toph, the First Metalbender | Infinite Guideline Station"
17,1,4,"Atraxa, Praetors' Voice | Cloud, Ex-SOLDIER | Shorikai, Genesis Engine | Camellia, the Seedmiser"
17,2,4,"Infinite Guideline Station | Ulalek, Fused Atrocity | Urtet, Remnant of Memnarch | Thanos, the Mad Titan"
17,3,4,"Urza, Chief Artificer | Mathematics — Omnath, Locus of All | Wilson, Refined Grizzly + Flaming Fist | Garth One-Eye"
17,4,4,"Toph, Earthbending Master | Toph, the First Metalbender | Omnath, Locus of Mana | Miles Morales // Ultimate Spider-Man"
17,5,3,"Black Panther — T'Challa, the Black Panther | Turtle Power! | Katara, the Fearless"
18,1,4,"Black Panther — T'Challa, the Black Panther | Garth One-Eye | Thanos, the Mad Titan | Cloud, Ex-SOLDIER"
18,2,4,"Katara, the Fearless | Urza, Chief Artificer | Wilson, Refined Grizzly + Flaming Fist | Toph, Earthbending Master"
18,3,4,"Urtet, Remnant of Memnarch | Miles Morales // Ultimate Spider-Man | Atraxa, Praetors' Voice | Infinite Guideline Station"
18,4,4,"Toph, the First Metalbender | Turtle Power! | Shorikai, Genesis Engine | Omnath, Locus of Mana"
18,5,3,"Camellia, the Seedmiser | Ulalek, Fused Atrocity | Mathematics — Omnath, Locus of All"
19,1,4,"Camellia, the Seedmiser | Infinite Guideline Station | Toph, Earthbending Master | Garth One-Eye"
19,2,4,"Mathematics — Omnath, Locus of All | Urtet, Remnant of Memnarch | Atraxa, Praetors' Voice | Toph, the First Metalbender"
19,3,4,"Wilson, Refined Grizzly + Flaming Fist | Omnath, Locus of Mana | Black Panther — T'Challa, the Black Panther | Katara, the Fearless"
19,4,4,"Turtle Power! | Ulalek, Fused Atrocity | Thanos, the Mad Titan | Shorikai, Genesis Engine"
19,5,3,"Cloud, Ex-SOLDIER | Urza, Chief Artificer | Miles Morales // Ultimate Spider-Man"
